"species","property","sample_size","significant_count"
"athaliana","Buckle",1,0
"athaliana","HelT",1,4
"athaliana","MGW",1,6
"athaliana","Opening",1,3
"athaliana","ProT",1,5
"athaliana","Rise",1,0
"athaliana","Roll",1,3
"athaliana","Shear",1,0
"athaliana","Shift",1,0
"athaliana","Slide",1,3
"athaliana","Stagger",1,0
"athaliana","Stretch",1,0
"athaliana","Tilt",1,0
"athaliana","Buckle",10,2
"athaliana","HelT",10,25
"athaliana","MGW",10,80
"athaliana","Opening",10,12
"athaliana","ProT",10,16
"athaliana","Rise",10,4
"athaliana","Roll",10,58
"athaliana","Shear",10,0
"athaliana","Shift",10,2
"athaliana","Slide",10,29
"athaliana","Stagger",10,12
"athaliana","Stretch",10,4
"athaliana","Tilt",10,1
"athaliana","Buckle",50,18
"athaliana","HelT",50,147
"athaliana","MGW",50,159
"athaliana","Opening",50,238
"athaliana","ProT",50,212
"athaliana","Rise",50,33
"athaliana","Roll",50,117
"athaliana","Shear",50,1
"athaliana","Shift",50,9
"athaliana","Slide",50,280
"athaliana","Stagger",50,150
"athaliana","Stretch",50,71
"athaliana","Tilt",50,7
"athaliana","Buckle",100,58
"athaliana","HelT",100,218
"athaliana","MGW",100,208
"athaliana","Opening",100,299
"athaliana","ProT",100,278
"athaliana","Rise",100,104
"athaliana","Roll",100,173
"athaliana","Shear",100,11
"athaliana","Shift",100,20
"athaliana","Slide",100,321
"athaliana","Stagger",100,239
"athaliana","Stretch",100,125
"athaliana","Tilt",100,32
"celegans","Buckle",1,0
"celegans","HelT",1,0
"celegans","MGW",1,0
"celegans","Opening",1,0
"celegans","ProT",1,0
"celegans","Rise",1,0
"celegans","Roll",1,0
"celegans","Shear",1,0
"celegans","Shift",1,0
"celegans","Slide",1,0
"celegans","Stagger",1,0
"celegans","Stretch",1,0
"celegans","Tilt",1,0
"celegans","Buckle",10,0
"celegans","HelT",10,8
"celegans","MGW",10,28
"celegans","Opening",10,3
"celegans","ProT",10,5
"celegans","Rise",10,1
"celegans","Roll",10,8
"celegans","Shear",10,0
"celegans","Shift",10,0
"celegans","Slide",10,6
"celegans","Stagger",10,0
"celegans","Stretch",10,1
"celegans","Tilt",10,0
"celegans","Buckle",50,4
"celegans","HelT",50,79
"celegans","MGW",50,145
"celegans","Opening",50,34
"celegans","ProT",50,24
"celegans","Rise",50,9
"celegans","Roll",50,96
"celegans","Shear",50,0
"celegans","Shift",50,5
"celegans","Slide",50,32
"celegans","Stagger",50,14
"celegans","Stretch",50,10
"celegans","Tilt",50,2
"celegans","Buckle",100,17
"celegans","HelT",100,131
"celegans","MGW",100,201
"celegans","Opening",100,80
"celegans","ProT",100,56
"celegans","Rise",100,29
"celegans","Roll",100,167
"celegans","Shear",100,12
"celegans","Shift",100,25
"celegans","Slide",100,74
"celegans","Stagger",100,47
"celegans","Stretch",100,45
"celegans","Tilt",100,18
"dmelanogaster","Buckle",1,0
"dmelanogaster","HelT",1,1
"dmelanogaster","MGW",1,1
"dmelanogaster","Opening",1,0
"dmelanogaster","ProT",1,0
"dmelanogaster","Rise",1,0
"dmelanogaster","Roll",1,0
"dmelanogaster","Shear",1,0
