species1,species2,property,cosine_similarity
athaliana,celegans,Buckle,0.24012742915632965
athaliana,dmelanogaster,Buckle,-0.048824753935322075
athaliana,hsapiens,Buckle,0.45189692687061217
athaliana,pfalciparum,Buckle,-0.10600321524521268
athaliana,scerevisiae,Buckle,-0.08547769058696768
celegans,dmelanogaster,Buckle,0.2871494883248206
celegans,hsapiens,Buckle,0.49813450343878923
celegans,pfalciparum,Buckle,0.023488206112567477
celegans,scerevisiae,Buckle,-0.36239328006228455
dmelanogaster,hsapiens,Buckle,0.5552076276164901
dmelanogaster,pfalciparum,Buckle,0.4743821987131656
dmelanogaster,scerevisiae,Buckle,0.06911161661375351
hsapiens,pfalciparum,Buckle,0.2854933557211726
hsapiens,scerevisiae,Buckle,-0.06272658085662619
pfalciparum,scerevisiae,Buckle,0.11657096015680254
athaliana,celegans,HelT,-0.16083162514429322
athaliana,dmelanogaster,HelT,0.5863951804828361
athaliana,hsapiens,HelT,0.47501318298496537
athaliana,pfalciparum,HelT,0.004028561926476692
athaliana,scerevisiae,HelT,0.7381166479201978
celegans,dmelanogaster,HelT,0.5103194056410288
celegans,hsapiens,HelT,0.4905258756563776
celegans,pfalciparum,HelT,-0.024381684237783148
celegans,scerevisiae,HelT,-0.31735635538958007
dmelanogaster,hsapiens,HelT,0.711670291369703
dmelanogaster,pfalciparum,HelT,0.09321811837028257
dmelanogaster,scerevisiae,HelT,0.4126435340852692
hsapiens,pfalciparum,HelT,0.25765787442579363
hsapiens,scerevisiae,HelT,0.26064470182073984
pfalciparum,scerevisiae,HelT,0.13896862151266945
athaliana,celegans,MGW,0.30905236345148235
athaliana,dmelanogaster,MGW,0.6343511230991999
athaliana,hsapiens,MGW,0.433847499882412
athaliana,pfalciparum,MGW,0.30512217679446624
athaliana,scerevisiae,MGW,0.530131444402949
celegans,dmelanogaster,MGW,0.5784636263541597
celegans,hsapiens,MGW,0.5069459379368192
celegans,pfalciparum,MGW,0.1115211437756193
celegans,scerevisiae,MGW,-0.08780129442337271
dmelanogaster,hsapiens,MGW,0.6414601766965935
dmelanogaster,pfalciparum,MGW,0.09990630471294097
dmelanogaster,scerevisiae,MGW,0.41123812559685985
hsapiens,pfalciparum,MGW,0.1873496266076519
hsapiens,scerevisiae,MGW,0.49459947755270495
pfalciparum,scerevisiae,MGW,0.20155169013709012
athaliana,celegans,Opening,-0.43919594085177815
athaliana,dmelanogaster,Opening,0.5752847875157717
athaliana,hsapiens,Opening,0.39250062503670585
athaliana,pfalciparum,Opening,0.0756140640093586
athaliana,scerevisiae,Opening,0.6719433601981889
celegans,dmelanogaster,Opening,0.19153625673182267
celegans,hsapiens,Opening,0.3610757042439963
celegans,pfalciparum,Opening,-0.3587748918393715
celegans,scerevisiae,Opening,-0.618886698958112
dmelanogaster,hsapiens,Opening,0.5365137321093548
dmelanogaster,pfalciparum,Opening,-0.19110504035075235
dmelanogaster,scerevisiae,Opening,0.2665807610778249
hsapiens,pfalciparum,Opening,-0.09271441602688923
hsapiens,scerevisiae,Opening,-0.030335320029349685
pfalciparum,scerevisiae,Opening,0.2674188193641621
athaliana,celegans,ProT,-0.4709258722681528
athaliana,dmelanogaster,ProT,0.5855395627857408
athaliana,hsapiens,ProT,0.37081575725489935
athaliana,pfalciparum,ProT,0.19086721799562711
athaliana,scerevisiae,ProT,0.729619099129406
celegans,dmelanogaster,ProT,0.18475553152667093
celegans,hsapiens,ProT,0.38453537113570113
celegans,pfalciparum,ProT,-0.4722104121164511
celegans,scerevisiae,ProT,-0.7181185661032682
dmelanogaster,hsapiens,ProT,0.48542336462320934
dmelanogaster,pfalciparum,ProT,-0.12064615386642767
dmelanogaster,scerevisiae,ProT,0.3013695473397477
hsapiens,pfalciparum,ProT,-0.13033145917079497
hsapiens,scerevisiae,ProT,-0.0918172870937295
pfalciparum,scerevisiae,ProT,0.3643503392675088
athaliana,celegans,Rise,0.5467859558755259
athaliana,dmelanogaster,Rise,0.48347800252849765
athaliana,hsapiens,Rise,0.5196066566597612
athaliana,pfalciparum,Rise,0.6577605830258445
athaliana,scerevisiae,Rise,0.7332029786941525
