species1,species2,position,kl_value
athaliana,athaliana,-200,0.0
athaliana,athaliana,-199,0.0
athaliana,athaliana,-198,0.0
athaliana,athaliana,-197,0.0
athaliana,athaliana,-196,0.0
athaliana,athaliana,-195,0.0
athaliana,athaliana,-194,0.0
athaliana,athaliana,-193,0.0
athaliana,athaliana,-192,0.0
athaliana,athaliana,-191,0.0
athaliana,athaliana,-190,0.0
athaliana,athaliana,-189,0.0
athaliana,athaliana,-188,0.0
athaliana,athaliana,-187,0.0
athaliana,athaliana,-186,0.0
athaliana,athaliana,-185,0.0
athaliana,athaliana,-184,0.0
athaliana,athaliana,-183,0.0
athaliana,athaliana,-182,0.0
athaliana,athaliana,-181,0.0
athaliana,athaliana,-180,0.0
athaliana,athaliana,-179,0.0
athaliana,athaliana,-178,0.0
athaliana,athaliana,-177,0.0
athaliana,athaliana,-176,0.0
athaliana,athaliana,-175,0.0
athaliana,athaliana,-174,0.0
athaliana,athaliana,-173,0.0
athaliana,athaliana,-172,0.0
athaliana,athaliana,-171,0.0
athaliana,athaliana,-170,0.0
athaliana,athaliana,-169,0.0
athaliana,athaliana,-168,0.0
athaliana,athaliana,-167,0.0
athaliana,athaliana,-166,0.0
athaliana,athaliana,-165,0.0
athaliana,athaliana,-164,0.0
athaliana,athaliana,-163,0.0
athaliana,athaliana,-162,0.0
athaliana,athaliana,-161,0.0
athaliana,athaliana,-160,0.0
athaliana,athaliana,-159,0.0
athaliana,athaliana,-158,0.0
athaliana,athaliana,-157,0.0
athaliana,athaliana,-156,0.0
athaliana,athaliana,-155,0.0
athaliana,athaliana,-154,0.0
athaliana,athaliana,-153,0.0
athaliana,athaliana,-152,0.0
athaliana,athaliana,-151,0.0
athaliana,athaliana,-150,0.0
athaliana,athaliana,-149,0.0
athaliana,athaliana,-148,0.0
athaliana,athaliana,-147,0.0
athaliana,athaliana,-146,0.0
athaliana,athaliana,-145,0.0
athaliana,athaliana,-144,0.0
athaliana,athaliana,-143,0.0
athaliana,athaliana,-142,0.0
athaliana,athaliana,-141,0.0
athaliana,athaliana,-140,0.0
athaliana,athaliana,-139,0.0
athaliana,athaliana,-138,0.0
athaliana,athaliana,-137,0.0
